SIRUTA;DENLOC;CODP;JUD;SIRSUP;TIP;NIV;MED;REGIUNE;FSJ;FS2;FS3;FSL;rang;fictiv
10;JUDEŢUL ALBA;0;1;1;40;1;0;7;1;     ;       ;1E+11;;
1017;MUNICIPIUL ALBA IULIA;0;1;10;1;2;1;7;1;1;       ;1,11673E+11;II;
1026;ALBA IULIA;0;1;1017;9;3;1;7;1;111673;1000084;1,11673E+11;II;
1035;BARABANŢ;510001;1;1017;10;3;1;7;1;111673;2000732;1,11674E+11;V;
1044;MICEŞTI;510002;1;1017;10;3;1;7;1;111673;2007411;1,11674E+11;V;
1053;OARDA;510003;1;1017;10;3;1;7;1;111673;2008111;1,11674E+11;V;
1062;PÎCLIŞA;510004;1;1017;10;3;1;7;1;111673;2008620;1,11674E+11;V;
1213;MUNICIPIUL AIUD;0;1;10;4;2;1;7;1;1;       ;1,21672E+11;II;
1222;AIUD;515200;1;1213;9;3;1;7;1;121672;1000079;1,21672E+11;II;
1231;AIUDUL DE SUS;515201;1;1213;10;3;1;7;1;121672;2000080;1,21673E+11;V;
1277;CIUMBRUD;515202;1;1213;11;3;1;7;1;121672;3002907;1,21673E+11;V;
1240;GÎMBAŞ;515203;1;1213;10;3;1;7;1;121672;2005072;1,21673E+11;V;
1286;GÎRBOVA DE JOS;515204;1;1213;11;3;1;7;1;121672;3005083;1,21673E+11;V;
1295;GÎRBOVA DE SUS;515205;1;1213;11;3;1;7;1;121672;3005084;1,21673E+11;V;
1302;GÎRBOVIŢA;515206;1;1213;11;3;1;7;1;121672;3005090;1,21673E+11;V;
1259;MAGINA;515207;1;1213;10;3;1;7;1;121672;2007086;1,21673E+11;V;
1268;PAGIDA;515208;1;1213;10;3;1;7;1;121672;2008525;1,21673E+11;V;
1311;SÎNCRAI;515209;1;1213;11;3;1;7;1;121672;3010574;1,21673E+11;V;
1320;ŢIFRA;515210;1;1213;11;3;1;7;1;121672;3012378;1,21673E+11;V;
1348;MUNICIPIUL BLAJ;0;1;10;4;2;1;7;1;1;       ;1,21682E+11;II;
1357;BLAJ;515400;1;1348;9;3;1;7;1;121682;1001132;1,21682E+11;II;
1366;DELENI-OBÎRŞIE;515401;1;1348;10;3;1;7;1;121682;2004011;1,21683E+11;V;
1375;FLITEŞTI;515402;1;1348;10;3;1;7;1;121682;2004777;1,21683E+11;V;
1384;IZVOARELE;515403;1;1348;10;3;1;7;1;121682;2006269;1,21683E+11;V;
1428;MANARADE;515404;1;1348;11;3;1;7;1;121682;3007159;1,21683E+11;V;
1393;PETRISAT;515405;1;1348;10;3;1;7;1;121682;2008796;1,21683E+11;V;
1437;SPATAC;515406;1;1348;11;3;1;7;1;121682;3011132;1,21683E+11;V;
1400;TIUR;515407;1;1348;10;3;1;7;1;121682;2012073;1,21683E+11;V;
1419;VEZA;515408;1;1348;10;3;1;7;1;121682;2013318;1,21683E+11;V;
1874;MUNICIPIUL SEBEŞ;0;1;10;4;2;1;7;1;1;       ;1,21745E+11;II;
1883;SEBEŞ;515800;1;1874;9;3;1;7;1;121745;1010791;1,21745E+11;II;
1892;LANCRAM;515801;1;1874;10;3;1;7;1;121745;2006446;1,21746E+11;V;
1909;PETREŞTI;515850;1;1874;10;3;1;7;1;121745;2008771;1,21746E+11;V;
1918;RAHAU;515802;1;1874;11;3;1;7;1;121745;3009789;1,21746E+11;V;
1151;ORAŞ ABRUD;0;1;10;2;2;1;7;1;1;       ;1,3187E+11;III;
1160;ABRUD;515100;1;1151;17;3;1;7;1;131870;1000009;1,3187E+11;III;
1179;ABRUD-SAT;515101;1;1151;18;3;1;7;1;131870;2000011;1,31871E+11;V;
1188;GURA CORNEI;515102;1;1151;18;3;1;7;1;131870;2005598;1,31871E+11;V;
