SIRUTA;DENLOC;CODP;JUD;SIRSUP;TIP;NIV;MED;REGIUNE;FSJ;FS2;FS3;FSL;rang;fictiv
1197;SOHARU;515103;1;1151;18;3;1;7;1;131870;2011089;1,31871E+11;V;
2915;ORAŞ BAIA DE ARIEŞ;0;1;10;2;2;1;7;1;1;       ;1,31881E+11;III;
2924;BAIA DE ARIEŞ;515300;1;2915;17;3;1;7;1;131881;1000421;1,31881E+11;III;
2933;BRAZEŞTI;515301;1;2915;19;3;1;7;1;131881;3001610;1,31882E+11;V;
2942;CIOARA DE SUS;515302;1;2915;19;3;1;7;1;131881;3002756;1,31882E+11;V;
2951;MUNCELU;515303;1;2915;19;3;1;7;1;131881;3007793;1,31882E+11;V;
2960;SARTAŞ;515304;1;2915;19;3;1;7;1;131881;3010286;1,31882E+11;V;
2979;SIMULEŞTI;515305;1;2915;19;3;1;7;1;131881;3010941;1,31882E+11;V;
1455;ORAŞ CÎMPENI;0;1;10;2;2;1;7;1;1;       ;1,31924E+11;III;
1464;CÎMPENI;515500;1;1455;17;3;1;7;1;131924;1002334;1,31924E+11;III;
1473;BONCEŞTI;515501;1;1455;18;3;1;7;1;131924;2001344;1,31925E+11;V;
1482;BORLEŞTI;515502;1;1455;18;3;1;7;1;131924;2001378;1,31925E+11;V;
1491;BOTEŞTI;515503;1;1455;18;3;1;7;1;131924;2001439;1,31925E+11;V;
1507;CERTEGE;515504;1;1455;18;3;1;7;1;131924;2002526;1,31925E+11;V;
1516;COASTA VÎSCULUI;515505;1;1455;18;3;1;7;1;131924;2002996;1,31925E+11;V;
1525;DANDUŢ;515506;1;1455;18;3;1;7;1;131924;2003837;1,31925E+11;V;
1534;DEALU BISTRII;515507;1;1455;18;3;1;7;1;131924;2003911;1,31925E+11;V;
1543;DEALU CAPSEI;515508;1;1455;18;3;1;7;1;131924;2003914;1,31925E+11;V;
1552;DRIC;515509;1;1455;18;3;1;7;1;131924;2004338;1,31925E+11;V;
1561;FAŢA ABRUDULUI;515510;1;1455;18;3;1;7;1;131924;2004535;1,31925E+11;V;
1570;FLOREŞTI;515511;1;1455;18;3;1;7;1;131924;2004796;1,31925E+11;V;
1589;FURDUIEŞTI;515512;1;1455;18;3;1;7;1;131924;2004944;1,31925E+11;V;
1598;MIHOEŞTI;515513;1;1455;18;3;1;7;1;131924;2007489;1,31925E+11;V;
1605;MOTORAŞTI;515514;1;1455;18;3;1;7;1;131924;2007738;1,31925E+11;V;
1614;PESTE VALEA BISTRII;515515;1;1455;18;3;1;7;1;131924;2008722;1,31925E+11;V;
1623;PODURI;515516;1;1455;18;3;1;7;1;131924;2009131;1,31925E+11;V;
1632;SORLIŢA;515517;1;1455;18;3;1;7;1;131924;2011125;1,31925E+11;V;
1641;TOMUŞEŞTI;515518;1;1455;18;3;1;7;1;131924;2012124;1,31925E+11;V;
1650;VALEA BISTRII;515519;1;1455;18;3;1;7;1;131924;2012671;1,31925E+11;V;
1669;VALEA CASELOR;515520;1;1455;18;3;1;7;1;131924;2012694;1,31925E+11;V;
1678;VÎRŞI;515521;1;1455;18;3;1;7;1;131924;2013252;1,31925E+11;V;
1696;ORAŞ CUGIR;0;1;10;2;2;1;7;1;1;       ;1,31932E+11;III;
1703;CUGIR;515600;1;1696;17;3;1;7;1;131932;1003682;1,31932E+11;III;
1712;BOCŞITURA;515601;1;1696;18;3;1;7;1;131932;2001210;1,31933E+11;V;
1721;BUCURU;515602;1;1696;18;3;1;7;1;131932;2001766;1,31933E+11;V;
1730;CALENE;515603;1;1696;18;3;1;7;1;131932;2002147;1,31933E+11;V;
1749;FEŢENI;515604;1;1696;18;3;1;7;1;131932;2004710;1,31933E+11;V;
1758;GOAŞELE;515605;1;1696;18;3;1;7;1;131932;2005361;1,31933E+11;V;
1767;MUGEŞTI;515606;1;1696;18;3;1;7;1;131932;2007784;1,31933E+11;V;
1776;VINEREA;515607;1;1696;18;3;1;7;1;131932;2013387;1,31933E+11;V;
1794;ORAŞ OCNA MUREŞ;0;1;10;2;2;1;7;1;1;       ;1,31992E+11;III;
1801;OCNA MUREŞ;515700;1;1794;17;3;1;7;1;131992;1008160;1,31992E+11;III;
1838;CISTEIU DE MUREŞ;515701;1;1794;19;3;1;7;1;131992;3002867;1,31993E+11;V;
1847;MICOŞLACA;515702;1;1794;19;3;1;7;1;131992;3007422;1,31993E+11;V;
1856;RAZBOIENI-CETATE;515703;1;1794;19;3;1;7;1;131992;3009831;1,31993E+11;V;
1810;UIOARA DE JOS;515704;1;1794;18;3;1;7;1;131992;2012443;1,31993E+11;V;
1829;UIOARA DE SUS;515705;1;1794;18;3;1;7;1;131992;2012444;1,31993E+11;V;
8096;ORAŞ TEIUŞ;0;1;10;2;2;1;7;1;1;       ;1,3205E+11;III;
8103;TEIUŞ;515900;1;8096;17;3;1;7;1;132050;1011953;1,3205E+11;III;
8112;BELDIU;515901;1;8096;19;3;1;7;1;132050;3000938;1,32051E+11;V;
8121;CAPUD;515902;1;8096;19;3;1;7;1;132050;3002238;1,32051E+11;V;
8130;COŞLARIU NOU;515903;1;8096;19;3;1;7;1;132050;3003392;1,32051E+11;V;
8149;PEŢELCA;515904;1;8096;19;3;1;7;1;132050;3008812;1,32051E+11;V;
1936;ORAŞ ZLATNA;0;1;10;2;2;1;7;1;1;       ;1,32078E+11;III;
1945;ZLATNA;516100;1;1936;17;3;1;7;1;132078;1013705;1,32078E+11;III;
1954;BOTEŞTI;516101;1;1936;19;3;1;7;1;132078;3001442;1,32079E+11;V;
1963;BUDENI;516102;1;1936;19;3;1;7;1;132078;3001794;1,32079E+11;V;
1972;DEALU ROATEI;516103;1;1936;19;3;1;7;1;132078;3003956;1,32079E+11;V;
1981;DOBROT;516104;1;1936;19;3;1;7;1;132078;3004141;1,32079E+11;V;
1990;DUMBRAVA;516105;1;1936;19;3;1;7;1;132078;3004393;1,32079E+11;V;
2005;FENEŞ;516106;1;1936;19;3;1;7;1;132078;3004688;1,32079E+11;V;
2014;GALAŢI;516107;1;1936;19;3;1;7;1;132078;3004957;1,32079E+11;V;
2023;IZVORU AMPOIULUI;516108;1;1936;19;3;1;7;1;132078;3006303;1,32079E+11;V;
2032;PATRÎNGENI;516109;1;1936;19;3;1;7;1;132078;3008579;1,32079E+11;V;
2041;PIRITA;516111;1;1936;19;3;1;7;1;132078;3008899;1,32079E+11;V;
2050;PÎRAU GRUIULUI;516110;1;1936;19;3;1;7;1;132078;3008632;1,32079E+11;V;
2069;PODU LUI PAUL;516112;1;1936;19;3;1;7;1;132078;3009112;1,32079E+11;V;
2078;RUNC;516113;1;1936;19;3;1;7;1;132078;3010160;1,32079E+11;V;
2087;RUŞI;516114;1;1936;19;3;1;7;1;132078;3010217;1,32079E+11;V;
2096;SUSENI;516115;1;1936;19;3;1;7;1;132078;3011447;1,32079E+11;V;
2103;TRÎMPOIELE;516116;1;1936;19;3;1;7;1;132078;3012193;1,32079E+11;V;
2112;VALEA MICA;516117;1;1936;19;3;1;7;1;132078;3012862;1,32079E+11;V;
2121;VÎLTORI;516118;1;1936;19;3;1;7;1;132078;3013217;1,32079E+11;V;
2130;ALBAC;0;1;10;3;2;3;7;1;1;       ;1,50024E+11;IV;
2149;ALBAC;517005;1;2130;22;3;3;7;1;150024;1000085;1,50024E+11;IV;
2158;BARAŞTI;517006;1;2130;23;3;3;7;1;150024;3000742;1,50025E+11;V;
2167;BUDAIEŞTI;517007;1;2130;23;3;3;7;1;150024;3001788;1,50025E+11;V;
2176;CIONEŞTI;517008;1;2130;23;3;3;7;1;150024;3002813;1,50025E+11;V;
2185;COSTEŞTI;517009;1;2130;23;3;3;7;1;150024;3003348;1,50025E+11;V;
2194;DEALU LAMAŞOI;517011;1;2130;23;3;3;7;1;150024;3003932;1,50025E+11;V;
2201;DEVE;517012;1;2130;23;3;3;7;1;150024;3004040;1,50025E+11;V;
2210;DUPA PLEŞE;517013;1;2130;23;3;3;7;1;150024;3004478;1,50025E+11;V;
2229;FAŢA;517014;1;2130;23;3;3;7;1;150024;3004534;1,50025E+11;V;
2238;PLEŞEŞTI;517016;1;2130;23;3;3;7;1;150024;3008988;1,50025E+11;V;
2247;POTIONCI;517017;1;2130;23;3;3;7;1;150024;3009431;1,50025E+11;V;
2256;ROGOZ;517018;1;2130;23;3;3;7;1;150024;3010010;1,50025E+11;V;
2265;ROŞEŞTI;517019;1;2130;23;3;3;7;1;150024;3010061;1,50025E+11;V;
2274;RUSEŞTI;517021;1;2130;23;3;3;7;1;150024;3010203;1,50025E+11;V;
2283;SOHODOL;517022;1;2130;23;3;3;7;1;150024;3011092;1,50025E+11;V;
2292;TAMBOREŞTI;517023;1;2130;23;3;3;7;1;150024;3011755;1,50025E+11;V;
2309;ALMAŞU MARE;0;1;10;3;2;3;7;1;1;       ;1,50045E+11;IV;
2318;ALMAŞU MARE;517030;1;2309;22;3;3;7;1;150045;1000153;1,50045E+11;IV;
2327;ALMAŞU DE MIJLOC;517031;1;2309;23;3;3;7;1;150045;3000152;1,50046E+11;V;
2336;BRADET;517032;1;2309;23;3;3;7;1;150045;3001557;1,50046E+11;V;
2345;CHEILE CIBULUI;517033;1;2309;23;3;3;7;1;150045;3002576;1,50046E+11;V;
2354;CIB;517034;1;2309;23;3;3;7;1;150045;3002723;1,50046E+11;V;
2363;GLOD;517036;1;2309;23;3;3;7;1;150045;3005337;1,50046E+11;V;
2372;NADAŞTIA;517038;1;2309;23;3;3;7;1;150045;3007871;1,50046E+11;V;
2381;ARIEŞENI;0;1;10;3;2;3;7;1;1;       ;1,50082E+11;IV;
2390;ARIEŞENI;517040;1;2381;22;3;3;7;1;150082;1000302;1,50082E+11;IV;
2407;AVRAMEŞTI;517041;1;2381;23;3;3;7;1;150082;3000380;1,50083E+11;V;
2416;BUBEŞTI;517042;1;2381;23;3;3;7;1;150082;3001705;1,50083E+11;V;
2425;CASA DE PIATRA;517043;1;2381;23;3;3;7;1;150082;3002069;1,50083E+11;V;
2434;COBLEŞ;517044;1;2381;23;3;3;7;1;150082;3003001;1,50083E+11;V;
2443;DEALU BAJULUI;517046;1;2381;23;3;3;7;1;150082;3003908;1,50083E+11;V;
2452;FAŢA CRISTESEI;517047;1;2381;23;3;3;7;1;150082;3004537;1,50083E+11;V;
2461;FAŢA LAPUŞULUI;517048;1;2381;23;3;3;7;1;150082;3004538;1,50083E+11;V;
2470;GALBENA;517049;1;2381;23;3;3;7;1;150082;3004961;1,50083E+11;V;
2489;HODOBANA;517051;1;2381;23;3;3;7;1;150082;3005849;1,50083E+11;V;
2498;IZLAZ;517052;1;2381;23;3;3;7;1;150082;3006256;1,50083E+11;V;
2504;PANTEŞTI;517053;1;2381;23;3;3;7;1;150082;3008555;1,50083E+11;V;
2513;PATRAHAIŢEŞTI;517054;1;2381;23;3;3;7;1;150082;3008576;1,50083E+11;V;
2522;POIENIŢA;517056;1;2381;23;3;3;7;1;150082;3009297;1,50083E+11;V;
2531;RAVICEŞTI;517057;1;2381;23;3;3;7;1;150082;3009719;1,50083E+11;V;
2540;STURU;517058;1;2381;23;3;3;7;1;150082;3011368;1,50083E+11;V;
2559;ŞTEI-ARIEŞENI;517059;1;2381;23;3;3;7;1;150082;3011693;1,50083E+11;V;
2568;VANVUCEŞTI;517061;1;2381;23;3;3;7;1;150082;3013041;1,50083E+11;V;
2577;AVRAM IANCU;0;1;10;3;2;3;7;1;1;       ;1,50098E+11;IV;
2586;AVRAM IANCU;517065;1;2577;22;3;3;7;1;150098;1000371;1,50098E+11;IV;
2595;ACHIMEŢEŞTI;517066;1;2577;23;3;3;7;1;150098;3000017;1,50099E+11;V;
2602;AVRAMEŞTI;517067;1;2577;23;3;3;7;1;150098;3000379;1,50099E+11;V;
2611;BADAI;517068;1;2577;23;3;3;7;1;150098;3000563;1,50099E+11;V;
2620;BOLDEŞTI;517069;1;2577;23;3;3;7;1;150098;3001327;1,50099E+11;V;
2639;CALUGAREŞTI;517071;1;2577;23;3;3;7;1;150098;3002199;1,50099E+11;V;
2648;CASOAIA;517072;1;2577;23;3;3;7;1;150098;3002279;1,50099E+11;V;
2657;CÎNDEŞTI;517073;1;2577;23;3;3;7;1;150098;3002366;1,50099E+11;V;
2666;CÎRAŞTI;517074;1;2577;23;3;3;7;1;150098;3002373;1,50099E+11;V;
2675;CÎRŢULEŞTI;517076;1;2577;23;3;3;7;1;150098;3002419;1,50099E+11;V;
2684;COCEŞTI;517077;1;2577;23;3;3;7;1;150098;3003010;1,50099E+11;V;
2693;COCOŞEŞTI;517078;1;2577;23;3;3;7;1;150098;3003033;1,50099E+11;V;
2700;COROIEŞTI;517079;1;2577;23;3;3;7;1;150098;3003299;1,50099E+11;V;
2719;DEALU CRIŞULUI;517081;1;2577;23;3;3;7;1;150098;3003918;1,50099E+11;V;
2728;DOLEŞTI;517082;1;2577;23;3;3;7;1;150098;3004171;1,50099E+11;V;
2737;DUMACEŞTI;517083;1;2577;23;3;3;7;1;150098;3004383;1,50099E+11;V;
2746;GOJEIEŞTI;517084;1;2577;23;3;3;7;1;150098;3005389;1,50099E+11;V;
2755;HELEREŞTI;517086;1;2577;23;3;3;7;1;150098;3005781;1,50099E+11;V;
2764;INCEŞTI;517087;1;2577;23;3;3;7;1;150098;3006146;1,50099E+11;V;
2773;JOJEI;517088;1;2577;23;3;3;7;1;150098;3006393;1,50099E+11;V;
2782;MARTEŞTI;517089;1;2577;23;3;3;7;1;150098;3007240;1,50099E+11;V;
2791;ORGEŞTI;517091;1;2577;23;3;3;7;1;150098;3008327;1,50099E+11;V;
2808;PATRUŢEŞTI;517092;1;2577;23;3;3;7;1;150098;3008583;1,50099E+11;V;
2817;PLAI;517093;1;2577;23;3;3;7;1;150098;3008944;1,50099E+11;V;
2826;PUŞELEŞTI;517094;1;2577;23;3;3;7;1;150098;3009628;1,50099E+11;V;
2835;ŞOICEŞTI;517096;1;2577;23;3;3;7;1;150098;3011621;1,50099E+11;V;
2844;ŞTERTEŞTI;517097;1;2577;23;3;3;7;1;150098;3011695;1,50099E+11;V;
2853;TÎRSA;517098;1;2577;23;3;3;7;1;150098;3011919;1,50099E+11;V;
2862;TÎRSA-PLAI;517099;1;2577;23;3;3;7;1;150098;3011922;1,50099E+11;V;
2871;VALEA MACIULUI;517101;1;2577;23;3;3;7;1;150098;3012815;1,50099E+11;V;
2880;VALEA UŢULUI;517102;1;2577;23;3;3;7;1;150098;3013011;1,50099E+11;V;
2899;VERDEŞTI;517103;1;2577;23;3;3;7;1;150098;3013292;1,50099E+11;V;
2906;VIDRIŞOARA;517104;1;2577;23;3;3;7;1;150098;3013344;1,50099E+11;V;
2988;BERGHIN;0;1;10;3;2;3;7;1;1;       ;1,50221E+11;IV;
2997;BERGHIN;517110;1;2988;22;3;3;7;1;150221;1001007;1,50221E+11;IV;
3002;GHIRBOM;517111;1;2988;23;3;3;7;1;150221;3005246;1,50222E+11;V;
3011;HENIG;517112;1;2988;23;3;3;7;1;150221;3005788;1,50222E+11;V;
3020;STRAJA;517113;1;2988;23;3;3;7;1;150221;3011302;1,50222E+11;V;
3039;BISTRA;0;1;10;3;2;3;7;1;1;       ;1,50252E+11;IV;
3048;BISTRA;517115;1;3039;22;3;3;7;1;150252;1001102;1,50252E+11;IV;
3057;ARONEŞTI;517116;1;3039;23;3;3;7;1;150252;3000323;1,50253E+11;V;
3066;BALEŞTI;517117;1;3039;23;3;3;7;1;150252;3000668;1,50253E+11;V;
3075;BALEŞTI-CATUN;517118;1;3039;23;3;3;7;1;150252;3000670;1,50253E+11;V;
3084;BÎRLEŞTI;517119;1;3039;23;3;3;7;1;150252;3000838;1,50253E+11;V;
3093;CHELETENI;517121;1;3039;23;3;3;7;1;150252;3002578;1,50253E+11;V;
3100;CIULDEŞTI;517122;1;3039;23;3;3;7;1;150252;3002894;1,50253E+11;V;
3119;CREŢEŞTI;517123;1;3039;23;3;3;7;1;150252;3003549;1,50253E+11;V;
3128;DEALU MUNTELUI;517126;1;3039;23;3;3;7;1;150252;3003948;1,50253E+11;V;
3137;DÎMBURENI;517124;1;3039;23;3;3;7;1;150252;3003874;1,50253E+11;V;
3146;DURAŞTI;517127;1;3039;23;3;3;7;1;150252;3004481;1,50253E+11;V;
3155;GANEŞTI;517128;1;3039;23;3;3;7;1;150252;3005039;1,50253E+11;V;
3164;GÎRDE;517129;1;3039;23;3;3;7;1;150252;3005100;1,50253E+11;V;
3173;HODIŞEŞTI;517131;1;3039;23;3;3;7;1;150252;3005846;1,50253E+11;V;
3182;HUDRICEŞTI;517132;1;3039;23;3;3;7;1;150252;3005947;1,50253E+11;V;
3191;LIPAIA;517133;1;3039;23;3;3;7;1;150252;3006644;1,50253E+11;V;
3208;LUNCA LARGA;517134;1;3039;23;3;3;7;1;150252;3006836;1,50253E+11;V;
3217;LUNCA MERILOR;517136;1;3039;23;3;3;7;1;150252;3006841;1,50253E+11;V;
3226;MIHAIEŞTI;517137;1;3039;23;3;3;7;1;150252;3007473;1,50253E+11;V;
3235;NAMAŞ;517138;1;3039;23;3;3;7;1;150252;3007879;1,50253E+11;V;
3244;NOVACEŞTI;517139;1;3039;23;3;3;7;1;150252;3008086;1,50253E+11;V;
3253;PERJEŞTI;517141;1;3039;23;3;3;7;1;150252;3008712;1,50253E+11;V;
3262;POIANA;517142;1;3039;23;3;3;7;1;150252;3009178;1,50253E+11;V;
3271;POIU;517143;1;3039;23;3;3;7;1;150252;3009305;1,50253E+11;V;
3280;RATITIŞ;517144;1;3039;23;3;3;7;1;150252;3009818;1,50253E+11;V;
3299;RUNCURI;517146;1;3039;23;3;3;7;1;150252;3010180;1,50253E+11;V;
3306;SALAGEŞTI;517147;1;3039;23;3;3;7;1;150252;3010414;1,50253E+11;V;
3315;ŞTEFANCA;517148;1;3039;23;3;3;7;1;150252;3011675;1,50253E+11;V;
3324;TOLACEŞTI;517149;1;3039;23;3;3;7;1;150252;3012102;1,50253E+11;V;
3333;TOMNATEC;517151;1;3039;23;3;3;7;1;150252;3012112;1,50253E+11;V;
3342;TRIŞOREŞTI;517152;1;3039;23;3;3;7;1;150252;3012224;1,50253E+11;V;
3351;ŢARANEŞTI;517153;1;3039;23;3;3;7;1;150252;3012335;1,50253E+11;V;
3360;VÎRŞI-RONTU;517154;1;3039;23;3;3;7;1;150252;3013253;1,50253E+11;V;
3379;VÎRŞII MARI;517156;1;3039;23;3;3;7;1;150252;3013254;1,50253E+11;V;
3388;VÎRŞII MICI;517157;1;3039;23;3;3;7;1;150252;3013255;1,50253E+11;V;
3397;BLANDIANA;0;1;10;3;2;3;7;1;1;       ;1,50272E+11;IV;
3404;BLANDIANA;517160;1;3397;22;3;3;7;1;150272;1001136;1,50272E+11;IV;
3413;ACMARIU;517161;1;3397;23;3;3;7;1;150272;3000021;1,50273E+11;V;
3422;IBRU;517162;1;3397;23;3;3;7;1;150272;3006045;1,50273E+11;V;
3431;POIENI;517163;1;3397;23;3;3;7;1;150272;3009269;1,50273E+11;V;
3440;RACATAU;517164;1;3397;23;3;3;7;1;150272;3009728;1,50273E+11;V;
9026;BUCERDEA GRÂNOASĂ;0;1;10;3;2;3;7;1;1;;1,50398E+11;;0
4204;BUCERDEA GRÂNOASA;517261;1;9026;22;3;3;7;1;150398;3001709;1,50398E+11;V;
4213;CORNU;517262;1;9026;23;3;3;7;1;150398;3003279;1,50399E+11;V;
4222;PADURE;517263;1;9026;23;3;3;7;1;150398;3008481;1,50399E+11;V;
4231;PÂNCA;517264;1;9026;23;3;3;7;1;150398;3008624;1,50399E+11;V;
3459;BUCIUM;0;1;10;3;2;3;7;1;1;       ;1,50402E+11;IV;
3468;BUCIUM;517165;1;3459;22;3;3;7;1;150402;1001723;1,50402E+11;IV;
3477;ANGHELEŞTI;517166;1;3459;23;3;3;7;1;150402;3000215;1,50403E+11;V;
3486;BISERICANI;517167;1;3459;23;3;3;7;1;150402;3001098;1,50403E+11;V;
3495;BUCIUM-SAT;517168;1;3459;23;3;3;7;1;150402;3001728;1,50403E+11;V;
3501;CERBU;517169;1;3459;23;3;3;7;1;150402;3002481;1,50403E+11;V;
3510;CIUCULEŞTI;517171;1;3459;23;3;3;7;1;150402;3002882;1,50403E+11;V;
3529;COLEŞENI;517172;1;3459;23;3;3;7;1;150402;3003070;1,50403E+11;V;
3538;DOGAREŞTI;517173;1;3459;23;3;3;7;1;150402;3004162;1,50403E+11;V;
3547;FEREŞTI;517174;1;3459;23;3;3;7;1;150402;3004696;1,50403E+11;V;
3556;FLOREŞTI;517176;1;3459;23;3;3;7;1;150402;3004789;1,50403E+11;V;
3565;GURA IZBITEI;517177;1;3459;23;3;3;7;1;150402;3005613;1,50403E+11;V;
3574;HELEŞTI;517178;1;3459;23;3;3;7;1;150402;3005784;1,50403E+11;V;
3583;IZBICIOARA;517179;1;3459;23;3;3;7;1;150402;3006250;1,50403E+11;V;
3592;IZBITA;517181;1;3459;23;3;3;7;1;150402;3006251;1,50403E+11;V;
3609;JURCUIEŞTI;517182;1;3459;23;3;3;7;1;150402;3006423;1,50403E+11;V;
3618;LUPULEŞTI;517183;1;3459;23;3;3;7;1;150402;3006918;1,50403E+11;V;
3627;MAGURA;517184;1;3459;23;3;3;7;1;150402;3007099;1,50403E+11;V;
3636;MUNTARI;517186;1;3459;23;3;3;7;1;150402;3007800;1,50403E+11;V;
3645;PETRENI;517187;1;3459;23;3;3;7;1;150402;3008766;1,50403E+11;V;
3654;POIANA;517188;1;3459;23;3;3;7;1;150402;3009170;1,50403E+11;V;
3663;POIENI;517189;1;3459;23;3;3;7;1;150402;3009270;1,50403E+11;V;
3672;STÎLNIŞOARA;517191;1;3459;23;3;3;7;1;150402;3011205;1,50403E+11;V;
3681;VALEA ABRUZEL;517192;1;3459;23;3;3;7;1;150402;3012646;1,50403E+11;V;
3690;VALEA ALBA;517193;1;3459;23;3;3;7;1;150402;3012649;1,50403E+11;V;
3707;VALEA CERBULUI;517194;1;3459;23;3;3;7;1;150402;3012701;1,50403E+11;V;
3716;VALEA NEGRILESII;517196;1;3459;23;3;3;7;1;150402;3012883;1,50403E+11;V;
3725;VALEA POIENII;517197;1;3459;23;3;3;7;1;150402;3012906;1,50403E+11;V;
3734;VALEA ŞESII;517198;1;3459;23;3;3;7;1;150402;3012982;1,50403E+11;V;
3743;VALENI;517199;1;3459;23;3;3;7;1;150402;3013109;1,50403E+11;V;
3752;VÎLCEA;517201;1;3459;23;3;3;7;1;150402;3013186;1,50403E+11;V;
4106;CÂLNIC;0;1;10;3;2;3;7;1;1;       ;1,50516E+11;IV;
4115;CÂLNIC;517205;1;4106;22;3;3;7;1;150516;1002323;1,50516E+11;IV;
4133;DEAL;517207;1;4106;23;3;3;7;1;150516;3003900;1,50517E+11;V;
3761;CENADE;0;1;10;3;2;3;7;1;1;       ;1,50531E+11;IV;
3770;CENADE;517210;1;3761;22;3;3;7;1;150531;1002455;1,50531E+11;IV;
3789;CAPU DEALULUI;517211;1;3761;23;3;3;7;1;150531;3002037;1,50532E+11;V;
3798;GORGAN;517212;1;3761;23;3;3;7;1;150531;3005416;1,50532E+11;V;
3805;CERGAU;0;1;10;3;2;3;7;1;1;       ;1,5054E+11;IV;
3814;CERGAU MARE;517216;1;3805;22;3;3;7;1;150540;1002490;1,5054E+11;IV;
3823;CERGAU MIC;517217;1;3805;23;3;3;7;1;150540;3002491;1,50541E+11;V;
3832;LUPU;517218;1;3805;23;3;3;7;1;150540;3006915;1,50541E+11;V;
3841;CERU-BACAINŢI;0;1;10;3;2;3;7;1;1;       ;1,50552E+11;IV;
3850;CERU-BACAINŢI;517220;1;3841;22;3;3;7;1;150552;1002532;1,50552E+11;IV;
3869;BOLOVANEŞTI;517221;1;3841;23;3;3;7;1;150552;3001341;1,50553E+11;V;
3878;BULBUC;517222;1;3841;23;3;3;7;1;150552;3001860;1,50553E+11;V;
3887;CUCUTA;517223;1;3841;23;3;3;7;1;150552;3003673;1,50553E+11;V;
3896;CURPENI;517224;1;3841;23;3;3;7;1;150552;3003732;1,50553E+11;V;
